School Name,Suburb,Type,Sector,Geolocation,Latitude,Longitude,VET Certs With 2021 Enrolments,% Applying for Tertiary Study,Median VCE Score,VCE 40+ %
Padua College,Mornington,Secondary,Non-Gov,Major Cities,-38.2183,145.072,40,68.7,29,   6.1
Pakenham Secondary College,Pakenham,Secondary,Gov,Major Cities,-38.0691,145.471,25,97.4,26,   0.6
Parade College,Bundoora,Secondary,Non-Gov,Major Cities,-37.6902,145.067,18,89.6,30,   6.5
Parkdale Secondary College,Mordialloc,Secondary,Gov,Major Cities,-37.9896,145.094,40,62.3,30,   7.5
Parkville College,Parkville,Special,Gov,Major Cities,-37.7788,144.943,22,0,0,0
Peninsula Grammar,Mount Eliza,Combined,Non-Gov,Major Cities,-38.1982,145.091,12,89.5,33,  14.7
Penola Catholic College,Broadmeadows,Secondary,Non-Gov,Major Cities,-37.6888,144.92,27,76.4,26,   2.3
Peter Lalor Secondary College,Lalor,Secondary,Gov,Major Cities,-37.6669,145.013,20,0,0,0
Plenty Valley Christian College,Doreen,Combined,Non-Gov,Major Cities,-37.6135,145.139,24,75.4,29,   1.7
Portland Secondary College,Portland,Secondary,Gov,Outer Regional,-38.3588,141.596,13,51.7,25,   0.3
Presbyterian Ladies' College,Burwood,Combined,Non-Gov,Major Cities,-37.8489,145.107,0,98.8,36,  30.4
Rainbow P-12 College,Rainbow,Combined,Gov,Remote,-35.8945,141.997,8,71.4,27,0
Red Cliffs Secondary College,Red Cliffs,Secondary,Gov,Outer Regional,-34.2988,142.195,19,31,25,0
Red Rock Christian College,Sunbury,Combined,Non-Gov,Inner Regional,-37.5191,144.706,2,0,29,0
Reservoir High School,Reservoir,Secondary,Gov,Major Cities,-37.7223,145.03,11,78.8,28,   3.9
Ringwood Secondary College,Ringwood,Secondary,Gov,Major Cities,-37.8166,145.239,41,85.3,30,   7.0
River Nile School,North Melbourne,Special,Non-Gov,Major Cities,-37.8051,144.955,10,0,0,0
Robinvale College,Robinvale,Combined,Gov,Outer Regional,-34.5889,142.782,10,60,27,   2.6
Rochester Secondary College,Rochester,Secondary,Gov,Inner Regional,-36.3528,144.699,11,83.3,28,   1.4
Rosebud Secondary College,Rosebud,Secondary,Gov,Major Cities,-38.3676,144.887,20,83.3,28,   5.1
Rosehill Secondary College,Niddrie,Secondary,Gov,Major Cities,-37.7473,144.886,20,89.9,29,   5.4
Rowville Secondary College,Rowville,Secondary,Gov,Major Cities,-37.9239,145.237,49,62.1,26,   3.1
Roxburgh College,Roxburgh Park,Secondary,Gov,Major Cities,-37.6306,144.929,17,90.8,25,   3.0
Rushworth P-12 College,Rushworth,Combined,Gov,Inner Regional,-36.5833,145.014,2,100,25,0
Rutherglen High School,Rutherglen,Secondary,Gov,Inner Regional,-36.0626,146.452,6,33.3,24,   0.9
Ruyton Girls' School,Kew,Combined,Non-Gov,Major Cities,-37.8112,145.039,7,97.8,36,  27.1
Sacre Coeur,Glen Iris,Combined,Non-Gov,Major Cities,-37.8615,145.053,2,100,35,  18.6
Sacred Heart College,Yarrawonga,Secondary,Non-Gov,Inner Regional,-36.0089,146.01,8,80,29,   4.5
Sale College,Sale,Secondary,Gov,Inner Regional,-38.1089,147.068,16,46,26,0
Salesian College Sunbury,Sunbury,Secondary,Non-Gov,Major Cities,-37.5726,144.739,27,71.7,28,   3.1
Sandringham College,Sandringham,Secondary,Gov,Major Cities,-37.9567,145.023,24,77.9,30,   5.9
Santa Maria College,Northcote,Secondary,Non-Gov,Major Cities,-37.7704,145.002,20,96.8,32,  10.8
Scoresby Secondary College,Scoresby,Secondary,Gov,Major Cities,-37.8886,145.236,13,52.9,27,   1.4
Scotch College,Hawthorn,Combined,Non-Gov,Major Cities,-37.8339,145.032,4,96.6,34,  20.9
Seymour College,Seymour,Combined,Gov,Inner Regional,-37.0298,145.141,27,67.3,27,   2.8
Shepparton Christian College,Shepparton,Combined,Non-Gov,Inner Regional,-36.3538,145.416,12,58.3,29,0
Sherbrooke Community School,Sassafras,Combined,Gov,Major Cities,-37.8682,145.349,10,50,30,  20.0
Somerville Secondary College,Somerville,Secondary,Gov,Major Cities,-38.2272,145.168,18,100,27,0
Southern Cross Grammar,Caroline Springs,Combined,Non-Gov,Major Cities,-37.714,144.74,2,91.4,31,   9.6
St Albans Secondary College,St Albans,Secondary,Gov,Major Cities,-37.7453,144.807,21,92.4,30,   8.2
St Aloysius College,North Melbourne,Secondary,Non-Gov,Major Cities,-37.7929,144.943,15,100,32,  10.8
St Andrews Christian College,Wantirna South,Combined,Non-Gov,Major Cities,-37.8742,145.244,9,90.5,33,  12.3
St Arnaud Secondary College,St Arnaud,Secondary,Gov,Outer Regional,-36.6095,143.251,14,100,28,0
St Augustine's College,Kyabram,Combined,Non-Gov,Inner Regional,-36.3096,145.045,18,78.8,26,   2.9
St Bede's College,Mentone,Secondary,Non-Gov,Major Cities,-37.9912,145.068,25,80,30,   6.4
St Bernard's College,Essendon,Secondary,Non-Gov,Major Cities,-37.7494,144.884,23,82.7,30,   5.3
St Brigid's College,Horsham,Secondary,Non-Gov,Outer Regional,-36.7173,142.208,22,70.8,28,0
St Catherine's School,Toorak,Combined,Non-Gov,Major Cities,-37.8383,145.021,9,97.5,37,  32.2
St Columba's College,Essendon,Secondary,Non-Gov,Major Cities,-37.7572,144.914,18,96.6,32,  12.7
St Francis Xavier College,Beaconsfield,Secondary,Non-Gov,Major Cities,-38.0515,145.373,29,71.2,29,   4.3
St John's Regional College,Dandenong,Secondary,Non-Gov,Major Cities,-37.9902,145.226,23,77.9,26,   3.0
St Joseph's College,Ferntree Gully,Secondary,Non-Gov,Major Cities,-37.8905,145.295,28,81.2,31,   9.2
St Joseph's College,Echuca,Secondary,Non-Gov,Inner Regional,-36.1181,144.743,21,75,28,   3.1
St Kevin's College,Toorak,Combined,Non-Gov,Major Cities,-37.8354,145.025,6,97.6,35,  22.0
St Leonard's College,Brighton East,Combined,Non-Gov,Major Cities,-37.9286,145.008,13,96.1,34,  16.8
St Mary MacKillop College,Swan Hill,Secondary,Non-Gov,Outer Regional,-35.3419,143.557,8,84,28,   4.2
St Michael's Grammar School,St Kilda,Combined,Non-Gov,Major Cities,-37.8596,144.992,8,92.9,34,  13.8
St Monica's College,Epping,Secondary,Non-Gov,Major Cities,-37.6557,145.032,16,86.4,29,   4.5
St Patrick's College,Ballarat,Secondary,Non-Gov,Inner Regional,-37.5597,143.832,21,68.1,28,   5.5
St Peter's College,Cranbourne,Secondary,Non-Gov,Major Cities,-38.1084,145.257,42,83.5,25,   1.3
St Thomas Aquinas College,Tynong,Combined,Non-Gov,Inner Regional,-38.083,145.623,6,47.1,28,0
Star of the Sea College,Brighton,Secondary,Non-Gov,Major Cities,-37.8967,144.997,16,100,33,  17.6
Staughton College,Melton South,Secondary,Gov,Major Cities,-37.7083,144.568,27,59.8,26,   1.3
Stawell Secondary College,Stawell,Secondary,Gov,Inner Regional,-37.062,142.79,24,50,24,   1.9
Strathmore Secondary College,Strathmore,Secondary,Gov,Major Cities,-37.737,144.927,9,82.9,30,   7.2
Sunbury College,Sunbury,Secondary,Gov,Major Cities,-37.5742,144.729,24,60.2,26,   3.2
Sunshine College,Sunshine West,Secondary,Gov,Major Cities,-37.7927,144.814,18,62.4,27,   2.1
Suzanne Cory High School,Werribee,Secondary,Gov,Major Cities,-37.8939,144.701,2,97.8,34,  17.2
Swan Hill College,Swan Hill,Secondary,Gov,Outer Regional,-35.3352,143.553,24,83.3,26,   1.4
Swifts Creek P-12 School,Swifts Creek,Combined,Gov,Outer Regional,-37.2668,147.724,4,85.7,30,   6.3
Sydney Road Community School,Brunswick,Secondary,Gov,Major Cities,-37.7695,144.962,8,28.6,27,0
Tallangatta Secondary College,Tallangatta,Secondary,Gov,Outer Regional,-36.2204,147.173,14,50,26,0
Tarneit Senior College,Tarneit,Secondary,Gov,Major Cities,-37.8333,144.679,15,69.2,24,   0.6
Templestowe College,Templestowe Lower,Secondary,Gov,Major Cities,-37.7675,145.122,35,64.2,30,   6.6
The Geelong College,Newtown,Combined,Non-Gov,Major Cities,-38.1524,144.34,9,90.8,33,  15.6
The Grange P-12 College,Hoppers Crossing,Combined,Gov,Major Cities,-37.8581,144.675,22,64.9,22,   1.6
The King David School,Armadale,Combined,Non-Gov,Major Cities,-37.8582,145.01,13,100,36,  26.8
The Knox School,Wantirna South,Combined,Non-Gov,Major Cities,-37.8655,145.219,8,92.5,33,  16.1
The Lakes South Morang College,South Morang,Combined,Gov,Major Cities,-37.6346,145.077,8,0,0,0
Thomas Carr College,Tarneit,Secondary,Non-Gov,Major Cities,-37.8477,144.702,26,89.8,27,   2.1
Thomastown Secondary College,Thomastown,Secondary,Gov,Major Cities,-37.679,145.003,11,66,26,   2.9
Thornbury High School,Thornbury,Secondary,Gov,Major Cities,-37.7565,145.025,23,88.7,29,   6.3
Timboon P-12 School,Timboon,Combined,Gov,Outer Regional,-38.4837,142.975,12,76.9,28,   3.8
Tintern Grammar,Ringwood East,Combined,Non-Gov,Major Cities,-37.8161,145.256,8,92.2,30,   7.2
Toorak College,Mount Eliza,Combined,Non-Gov,Major Cities,-38.1732,145.093,4,96,34,  14.3
Trafalgar High School,Trafalgar,Secondary,Gov,Inner Regional,-38.2146,146.158,26,63.9,28,   2.3
Traralgon College,Traralgon,Secondary,Gov,Inner Regional,-38.1914,146.519,24,44.4,27,   1.8
Tyrrell College,Sea Lake,Combined,Gov,Outer Regional,-35.5093,142.854,4,100,30,   3.1
University High School,Parkville,Secondary,Gov,Major Cities,-37.797,144.956,20,84.5,31,  13.3
Upper Yarra Secondary College,Yarra Junction,Secondary,Gov,Inner Regional,-37.7921,145.624,20,48.8,25,0
Upwey High School,Upwey,Secondary,Gov,Major Cities,-37.9032,145.334,28,70.4,27,   1.3
Vermont Secondary College,Vermont,Secondary,Gov,Major Cities,-37.8429,145.2,29,77.9,31,   9.8
Victorian College For The Deaf,Melbourne,Special,Gov,Major Cities,-37.8498,144.982,6,0,35,  25.0
Victory Lutheran College,West Wodonga,Combined,Non-Gov,Inner Regional,-36.1168,146.846,11,68.4,30,  11.3
Viewbank College,Viewbank,Secondary,Gov,Major Cities,-37.7412,145.087,20,79.7,30,   3.9
Virtual School Victoria,Thornbury,Combined,Gov,Major Cities,-37.762,145.026,24,31.9,28,   4.7
Wallan Secondary College,Wallan,Secondary,Gov,Major Cities,-37.4194,144.98,19,60.3,24,0
Wangaratta High School,Wangaratta,Secondary,Gov,Inner Regional,-36.3449,146.308,21,56.5,28,   7.0
Wantirna College,Wantirna,Secondary,Gov,Major Cities,-37.8578,145.231,36,58.6,28,   3.2
Warragul Regional College,Warragul,Secondary,Gov,Inner Regional,-38.1652,145.925,22,58.1,25,0
Warrandyte High School,Warrandyte,Secondary,Gov,Major Cities,-37.7471,145.185,18,74.1,25,   2.2
Warrnambool College,Warrnambool,Secondary,Gov,Inner Regional,-38.3767,142.5,21,58.7,27,   1.4
Waverley Christian College,Wantirna South,Combined,Non-Gov,Major Cities,-37.8796,145.215,26,92.2,33,  14.8
Wedderburn College,Wedderburn,Combined,Gov,Outer Regional,-36.417,143.617,13,80,29,0
Wellington Secondary College,Mulgrave,Secondary,Gov,Major Cities,-37.9347,145.17,24,83.1,28,   4.8
Werribee Secondary College,Werribee,Secondary,Gov,Major Cities,-37.9055,144.669,31,95.7,29,   4.9
Wesley College,Melbourne,Combined,Non-Gov,Major Cities,-37.8488,144.982,4,97.1,32,   9.6
Westall Secondary College,Clayton South,Secondary,Gov,Major Cities,-37.9402,145.136,28,90,27,   3.8
Westbourne Grammar School,Truganina,Combined,Non-Gov,Major Cities,-37.8508,144.725,1,96.3,33,  13.4
Whittlesea Secondary College,Whittlesea,Secondary,Gov,Inner Regional,-37.515,145.12,27,60,25,   0.5
Williamstown High School,Williamstown,Secondary,Gov,Major Cities,-37.8628,144.895,24,77.5,32,  10.0
Woodleigh School,Langwarrin South,Combined,Non-Gov,Major Cities,-38.1926,145.174,18,94.9,32,   8.2
Woodmans Hill Secondary College,Ballarat East,Secondary,Gov,Inner Regional,-37.5591,143.894,16,52.9,29,   2.8
Wycheproof P-12 College,Wycheproof,Combined,Gov,Outer Regional,-36.0757,143.229,8,66.7,33,   9.1
Xavier College,Kew,Combined,Non-Gov,Major Cities,-37.8139,145.031,14,92.1,33,  13.1
Yarra Hills Secondary College,Mooroolbark,Secondary,Gov,Major Cities,-37.7893,145.316,49,54.4,25,   0.6
Yarram Secondary College,Yarram,Secondary,Gov,Inner Regional,-38.5666,146.685,17,56.5,26,   0.7
Yarrawonga College P-12,Yarrawonga,Combined,Gov,Inner Regional,-36.0214,146.007,15,61.9,27,   0.9
Yea High School,Yea,Secondary,Gov,Inner Regional,-37.215,145.409,13,65.5,26,   0.7
Yeshivah College,St Kilda East,Combined,Non-Gov,Major Cities,-37.8679,145.0,3,88.2,35,  14.3
Youth2Industry College,South Melbourne,Secondary,Non-Gov,Major Cities,-37.8370872529307,144.966561398377,17,0,0,0
